ㄷㄱㅎㅈㄷㅀ > 강서유서 | 안녕하세요~^^
  박일아   >   북오더   | 북오더님이 필요해양 ㅠㅠ 도와주세영 ! 부관님이 북오더님을 애타게 찾고계십니다. 우려와는 다르게 저의 발외교로 인해 많이 어려운 상황이 왔습니다ㅠㅠ 북오더님 도와주세영ㅠㅠ
  박일아   >   박희수   | 안녕하세요 박희수님! ㅇㅋㄹ님이신가요?ㅋㅋ; 혹시 선약이 없으시다면... 저희국에 와주실수 있을까요? 비슷한 닉네임끼리 도와주세요(...)
  박일아   >    쿠요    | 안녕하세요 쿠요님! 혹시 선약이 없으시다면.. 저희 긔엽긔에 와주실수 있을까요? 발외교로 인해 많이 힘든상황이라 쿠요님이 필요합니다.. 쿠요님이라면 긔엽긔죠 >_<
  박일아   > 랜임1분장 | 안녕하세요 랜임1분장님! 혹시 선약이 없으시다면.. 저희 긔엽긔에 와주실수 있을까요? 발외교로 인해 많이 힘든상황이라 랜임1분장님의 힘이 필요합니다..
   비월    > 南ことり | 南ことり님! 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
  박일아   > 뒷집할머니 | 할머니이이이유ㅠㅠ 몬난 손녀(?!)를 도와주세야아앙ㅠㅠ
   비월    >      橙      | 橙 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
  박일아   >    리안    | 리안님, 이번엔 빼박입니다. 도와주세여! ㅋㅋㅋㅋ 내정만 해주셔도 됩니다 ㅋㅋ
  박일아   >   최태원   | 안녕하세요 최태원님! 혹시 선약이 없으시다면.. 저희 긔엽긔에 와주실수 있을까요? 발외교로 인해 많이 힘든상황이라 최태원님의 힘이 필요합니다..
  박일아   >   임사영   | 안녕하세요 임사영님, 지장이 많이 부족하여 전쟁에 어려움을 겪고 있습니다. 후한 대접을 해드릴테니, 긔엽긔에 와주실수 있을까요? 저희를 도와주세요 ㅠ.ㅠ
   비월    >    감정    | 감정님 어디서 많이 뵈었고 여러깃수를 같이 했지만 한나라의 군주로서 겐메를 보내는건 첨인듯 하네요 ^^;; 혹시 선약이 없다면 초보군주와 함께 하시는건 어떠신지요?
  박일아   >    쿠요    | 등용장도 드리겠습니다 ><
  박일아   >    네시    | 안녕하세요 네시님, 지장이 많이 부족하여 전쟁에 어려움을 겪고 있습니다. 후한 대접을 해드릴테니, 긔엽긔에 와주실수 있을까요? 저희를 도와주세요 ㅠ.ㅠ
   비월    >    네시    | 네시형 일리나예영~ 선약이 없다면 나와 같이!! 초보군주와 같이!!!함께.....합시다...!!!!
  박희수   >   박일아   | 아키라아닙니다 ㅋㅋㅋㅋㅋㅋㅋㅋ 꺄르르르륵 코스프레 성공했따
  박일아   > 南ことり | 안녕하세요 코토리님, 지장이 많이 부족하여 전쟁에 어려움을 겪고 있습니다. 후한 대접을 해드릴테니, 긔엽긔에 와주실수 있을까요? 저희를 도와주세요 ㅠ.ㅠ
   비월    > 뒷집할머니 | 뒷집할머니님 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
  박일아   > 미친과학 | 안녕하세요 미과님! 지장이 많이 부족하여 전쟁에 어려움을 겪고 있습니다. 후한 대접을 해드릴테니, 긔엽긔에 와주실수 있을까요? 저희를 도와주세요 ㅠ.ㅠ
  박일아   >    감정    | 안녕하세요 감정님! 혹시 선약이 없으시다면.. 저희 긔엽긔에 와주실수 있을까요? 발외교로 인해 많이 힘든상황이라 감정님의 힘이 필요합니다..
   비월    > 랜임1분장 | 랜임1분장님 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 닉과 같이 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
  박일아   >    감정    | 아마도 다굴쟁에서 뚫어내는 형태라 충차의 출병이 많을듯합니다. 저희를 도와주세요 !
   비월    >    리안    | 리안님, 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
  박일아   >      橙      | 안녕하세요 첸님(첸이라고 읽는거 맞나요?)! 혹시 선약이 없으시다면.. 저희 긔엽긔에 와주실수 있을까요? 발외교로 인해 많이 힘든상황이라 첸님의 힘이 필요합니다..
  박일아   >      橙      | 아마도 다굴쟁에서 뚫어내는 형태라 충차의 출병이 많을듯합니다. 저희를 도와주세요 !
   비월    > 미친과학 | 미과님! 오랜만입니다 ㅎㅎ 기억하실지 모르겠지만 저 일리나입니다 요번에 아주 오랜만에 두번째 건국을 했는데 초보군주와 같이 이번깃수를 해나가시는건 어떠신지요?
   비월    >   박희수   | 박희수님 종횡무진과의 전쟁에서 수고하셧습니다. 초보군주를 도와 이번깃수를 같이 해나갈 생각은 없으신지요?
   비월    >   북오더   | 북오더님 종횡무진과의 전쟁에서 고생 많으셧습니다. 기억하실지는 모르겠지만 저 일리나입니다. 초보군주와 같이 이번깃수 같이하는건 어떠신지요?
   비월    >   임사영   | 사영형! 일리나입니다! 종횡무진과의 전쟁에서 고생했습니다! 이번에 건국했는데 초보라 너무 힘든데 선약이 없다면 도와주십시오.
   비월    >   최태원   | 최태원님 종횡무진과의 전쟁에서 수고하셧습니다. 혹시 선약이 없다면 랜임도 좋지만 저희국에 와서 초보군주와 같이 이번깃수를 이어나가는건 어떠신가요?
   비월    >    쿠요    | 쿠요님 종횡무진과의 전쟁에서 고생 많으셧습니다. 55기때 랜임으로 관자를 들고 오셧는데 이번깃수도 같이 했으면 좋겠네요.
카이사르 >    쿠요    | 1시 12분에 갑니다~ 훌륭하신 휏신님을 모십니다! ㅎㅎ
  박일아   >    쿠요    | 47분턴에 날아가긴 할건데.. 혹시 그 전 턴이신가요? ㅠㅠ
랜임1분장 >    비월    | 국채
   쿠요    >   박일아   | 44 ㅠㅠ
   비월    > 랜임1분장 | 국채는 #일리나이지만 저 혼자입니다...ㅠㅠ
  희지재   >   박희수   | kbo 최고 좌완을 영입하고싶습니다! 당신의 바키투심은 저희에게 큰 도움이 될겁니다!
잠둥이션 >    쿠요    | 안녕하십니까. 서촉에서 학문을 닦고 있는 너구리 신선이니다. 귀국은 쿠요님을 진심으로 영입하고 싶나이다.
  박일아   > 잠둥이션 | 션님 1턴 요양하시고, 사령턴 박일아, SARS, Anes 쌀 1천씩 포상해주세요 ㅎㅎ
  박일아   > 잠둥이션 | 사스 쌀은 들어가있네요 사스빼고 주세요 ㅎㅎ
  박일아   >     Anes     | 보시면 감정님 쌀을 먼저 주실수있나요?
잠둥이션 >   박일아   | 2시턴 이전에 꼭 넣겠습니다. 지금 뭐 하고 있어서. 걱정 마세용
    KAITO     > 미친과학 | 넥센?????
    Anes     >   박일아   | 보는게 늦었네요 죄송
    SARS     > 잠둥이션 | 사스 금 2천 주셔야해요 1턴에
   읭읭    >   하루카   | ●임관 금지중입니다. 등용 수락 불가.
   진리    >   천괴금   | 기술연구부탁드립니다~
   비월    >   갸오오   | 갸오오님 고생하셧습니다 남은 깃수는 초보군주를 도와주시는건 어떠신지요??
   비월    >  Navy마초  | 마초님 안녕하세요? 오랫동안 뵜었는데 겐메 드리는건 첨인거 같네요 ㅎㅎ 저 일리나인데 기억하실지는 모르겟습니다. 혹시 선약이 없다면 저희국에 와서 도와주셨으면 합니다.
  갸오오   >    비월    | 갠메 보내 주셨는데 죄송해요, 장임님께서 먼저 선수를 치셔서.. 에엥 근데 초보라뇻 고대휏ㅅ....
   비월    >   갸오오   | 저 군주는 거의 첨입니다만 ㅎㅎ;;;;;;; 선약이었다면 어쩔수 없죠 ㅎㅎ
  청기사   >   갸오오   | 어케 안거야... 것보다 누구임ㅋㅋㅋ
  갸오오   >    장임    | 30분뒤 도착예정
   비월    >    진리    | 저 잠시 눈좀 붙임... 막겜국 망하면 전화주세요 010 5031 3966
   누렁    >   박일아   | 왠 임금?
그만좀불러좀 >    검임    | 접속하시면 병력뽑고 수비해주시거나 출병해주세요~
  박일아   >    누렁    | 임금 아닌데욧! 저희 긔엽긔입니다 ㅋ
  박일아   >   갸오오   | 경찰서씬 찍고싶지 않으면 빨리 긔엽긔로 임관해주세요 >_<
  박일아   > 야근탈출 | 안녕하세요, 야근탈출님! 전쟁 고생 많으셨습니다. 혹시 선약이 없으시다면, 긔엽긔국에서 야근탈출님을 모시고 싶습니다! 1:3쟁을 수행중인지라 한분 한분의 임관이 너무나 소중합니다
  박일아   > 야근탈출 | 절 믿고 임관해주신다면..즐겁게 쟁 하실 수 있는 환경을 만들 수 있도록 노력하겠습니다 !
  박일아   >    읭읭    | 읭읭님! 안녕하세양! 전쟁 고생하셨어양! 혹시 선약이 없으시다면, 읭읭님을 우리국으로 모시고싶어양. 1:3쟁을 수행중인데 읭읭님의 죽창이 필요합니당!
  박일아   >  Navy마초  | 안녕하세요! 두번째 갠메네욥. 전쟁 고생 많으셨습니다! 이번엔 혹시 긔엽긔를 선택해주시지 않겠어욥?+_+ 지루하지 않게 연쟁할계획입니다!
  박일아   >   청기사   | 안녕하세요 청기사님! 전쟁 고생 많으셨습니다. 혹시 선약이 없으시다면, 긔엽긔국에서 청기사님을 모시고 싶습니다! 1:3쟁을 수행중인지라 한분 한분의 임관이 너무나 소중합니다.
  박일아   >   청기사   | 절 믿고 임관해주신다면..즐겁게 쟁 하실 수 있는 환경을 만들 수 있도록 노력하겠습니다 !
  갸오오   >   박일아   | 예..?  늦었...
  박일아   > 그래도우리는 | 안녕하세요 그래도우리는님! 전쟁 고생 많으셨습니다. 혹시 선약이 없으시다면, 긔엽긔국에서 그래도우리는님을 모시고 싶습니다!
  박일아   > 그래도우리는 | 1:3쟁을 수행중인지라 한분 한분의 임관이 너무나 소중합니다. 절 믿고 임관해주신다면..즐겁게 쟁 하실 수 있는 환경을 만들 수 있도록 노력하겠습니다 !
  박일아   >   갸오오   | 으익...그럼 다음기회에...
  갸오오   >   박일아   | 30분턴이라 어쩔수가..
  갸오오   >   박일아   | 죄송합니다!
  박일아   >   갸오오   | 외근다녀와서 늦었어욥 ㅎㅎ 다음에 또 찾아뵐게욥..그땐 받아주셔욥 ><
  박일아   >    비월    | 똑똑 계십니까 ? 불가침을 4~6년정도 연장하고싶은데욧...!!
  갸오오   >   청기사   | 잠입을 충실하게 하기 위해 깃수 끝나갈 쯤 해서 공개 하겠습니다.
   누렁    >   박일아   | 그러넹 ㅋㅋㅋㅋ 등용장하나만 날려줘용  같은 핑크색이라 몰랐어요
  박일아   > 잠둥이션 | 션님 사령 1턴미루시고 1턴에 박일아 쌀 9천 &#039;몰수&#039;욧!
  청기사   >   갸오오   | -ㅅ-;;;
  청기사   >   박일아   | 죄송합니다. 랜임을 해서여...
   비월    >   박일아   | 이왕 쓰시는거 더쓰시죠?ㅋㅋㅋ
  박일아   >    비월    | 어느정도 생각하고계세요?
   비월    >   박일아   | 생각해보니 4~6년이 젤 낫겠네요...5년 어떠세요?
  박일아   >    비월    | 넵 저희도 딱 적당합니다ㅎㅎ 저희 쟁중이라서.. 혹시 보내주실수있나욥?
   비월    >   박일아   | 네 저희가 보낼수 있는데 이거 몇년으로 보내야 하죠? 5년으로 보내면 안되는거죠?
  박일아   >    비월    | 11년으로 보내주시면되욧! 옵션은 쓰여진 옵션대로 써주시면됩니닷ㅎㅎ 아참 이건 별개..인데 혹시 원조가 가능할지 여쭙고 싶습니닷!
   비월    >   박일아   | 원조는.... 저희도 금/쌀이 너무 딸려서 힘들거 같네요 죄송합니다ㅠㅠ
   비월    >   박일아   | 5시 11분에 갑니닷!
   비월    >   박일아   | 5시래...7시.... 정정하겠습니다.....
  박일아   >    누렁    | 누렁님~ 장사출 해주세요 ㅋ
    KAITO     >  Navy마초  | 저희 나라는 220년 넘게 오래 기수를 가는 것이 목표입니다 ㅠㅠ 원사이드가 싫은 분들 오세요~
    KAITO     >    네시    | 저희 나라는 220년 넘게 오래 기수를 가는 것이 목표입니다 ㅠㅠ 원사이드가 싫은 분들 오세요~
    KAITO     > 뒷집할머니 | 개인메세지는 3초당 1건만 보낼 수 있습니다!
    KAITO     >    리안    | 개인메세지는 3초당 1건만 보낼 수 있습니다!
    KAITO     > 야근탈출 | 저희 나라는 220년 넘게 오래 기수를 가는 것이 목표입니다 ㅠㅠ 원사이드가 싫은 분들 오세요~
    KAITO     >   최태원   | 저희 나라는 220년 넘게 오래 기수를 가는 것이 목표입니다 ㅠㅠ 원사이드가 싫은 분들 오세요~
    KAITO     > 피곤한조자룡 | 개인메세지는 3초당 1건만 보낼 수 있습니다!
   장임    >   갸오오   | 요번턴 금3천 포상점
  박일아   >     Anes     | Anes님 1턴 미루시고 1턴에 의병장21 영릉발령주세요~
더문더문 >    비월    | 그런 착한사람 모릅니다(?)
  박일아   >     Anes     | 해당 오더는 다른수뇌에게 맡겼어요!
   비월    > 더문더문 | 형 나 일리나임 ㅋㅋ
  하루카   >    읭읭    | 앗..미안해요..랜덤임관 하는 분들이 무능한 군주 밑으로 와서 고생하지 말라고 걸어둔 임금인데..읭읭님 턴을 낭비시켜버렸네요..부족한 국가로 와주려고 해주셔서 감사하고 죄송합니다
  박일아   >    장임    | 장임님, 쟁 고생 많으셨습니다.. 마지막삼모전으로 생각하시는거 같은데 참 아쉽습니다.. 설령 저희국으로 임관하지 않으시더라도, 재밌는 삼모전 하셨으면 좋겠습니다.
  박일아   >    장임    | 그래도 전 장임님이랑 같이 하고싶네요 ㅎㅎ 혹시라도 같이하실 생각이 있으시다면..긔엽긔로 임관해주신다면 정말 감사하겠습니다 !
  박일아   >   박희수   | 으앙 아키라님이 아니라니, 누구신가여! ㅋㅋㅋ 개인적으로 SK 팬입니다만.. 요즘들어 자꾸 FA를 빼앗겨서 아쉽습니다 ㅠㅠ(사실 이게 다 김성근 감독님때문이긴 한거같습니다 ㅎㅎ)
  박일아   >   박희수   | 혹여라도 같은국가에서 플레이 하지 않더라도, SK팬이신거같은데(맞나요?) 즐거운삼모전 하셨으면 좋겠습니다! (꼭 같은 국가에서 하고싶어요...)
  박일아   > 을지바람 | 안녕하세요! 쟁 수고 많으셨습니다 ㅎㅎ 이제 곧바로 연쟁과 다굴쟁에 돌입하는 긔엽긔에서 내정&전쟁을 함께 하시지 않으실래요?ㅎㅎ 긔엽긔는 언제나 을지바람님을 환영합니다 !
  박일아   >   갸오오   | 에에엣...부관님이 로비님을 보고싶어하세욧!! 아재라고 안놀릴테니.. 같이 삼모전해욧 +__+//
  박일아   >      진      | 진님! 쟁 수고 많으셨습니다. 이제 곧바로 연쟁과 다굴쟁에 돌입하는 긔엽긔에서 내정&전쟁을 함께 하시지 않으실래요?ㅎㅎ 긔엽긔는 언제나 진님을 환영합니다 !
   비월    >      橙      | 橙님 고생하셧습니다 남은깃수 저희국과 함께 라면 어떠신지요?
  박일아   >      橙      | 첸님 안녕하세욧! (이렇게 읽는거 맞죠...?) 긔엽긔에선.. 첸님을 모시고싶습니다. 아마 다굴쟁이지만 공격을 중점적으로 할 계획이기때문에 충차출병의 기회가 많을거라고 생각합니다
  박일아   >   최태원   | 안녕하세요 아키라님! 혹시 선약이 없으시다면 저희국좀 도와주세요! +_+ 닉네임도 비슷한 사람끼리 돕고 삽시다 +__+// 랜임템도 한혈마로 받으셨고, 함께해요 우리 +_+
   비월    >   갸오오   | 갸오오님 고생하셧습니다! 이번에야말로 데리고 가고 싶습니다!!
   비월    >   박희수   | 박희수님 긔엽긔국과의 쟁 고생많으셧습니다 남은깃수는 초보인 저와 같이 하는건 어떠신지요?
   비월    >    장임    | 막겜국 군주님 고생하셧어요! 이번엔 제가 건국을 한번 해봣는데 와서 도와주실수 있습니까?
   비월    >   최태원   | 한혈마를 드신 최태원님 고생 많으셧습니다! 유닉을 들고 유닉국! 블소국으로 오셔서 초보군주를 도와주시는건 어떠신지요?
카이사르 >    선비    | 선비님 1분후에 강릉발령이니까 (강릉으로 부대도 빠집니다.) 영릉출 취소하고 장사출 해주세요
  갸오오   >    비월    | http://puu.sh/mAbNL/01cd49f3b8.png // 1분 차이 죄송합니다 (..) 다음엔 1 순위로!...
   비월    >   갸오오   | 럴수가....
 Navy마초  >     KAITO     | 곧 찾아뵙죠 후후
 Navy마초  >   박일아   | 두번이나 갠메 주셨는데 아쉽네요. 다음번에 기회가 된다면 꼭 찾아가겠습니다.(__)
  박일아   >  Navy마초  | 넵! 다음기회에도 다시 도전해보겠습니다 ㅎㅎㅎ
 Navy마초  >    비월    | 안녕하세요 비월님. 갠메 감사합니다만, 다음기회에 뵙겠습니다. 아마 가까운 미래일지도. 후후...
   비월    >  Navy마초  | 네 알겠습니다 아쉽네요 ㅎ
 Navy마초  >   박일아   | 다음은 삼고초려네요. 본닉이세요? 제가 보고 찾아갈게요ㅋㅋ 전 &#039;좋지, 좋아~&#039;를 남발하는 떠돌이같은 존재라
  박일아   >  Navy마초  | 음 본닉은 irc닉 혜리 쓰고있는데, 삼모전은 박일아로 몇깃수째 하고있으니 이 또한 본닉이 맞습니다 ㅎㅎ 사실 복귀한지 15깃수 쯤 되는 뉴비예욧!
 Navy마초  >   박일아   | 전 아얄엔 복귀조차 않은걸요 ㅎㅎ. 저도 공백기가 상당해 늅늅입니다. 앞으로 잘 부탁드릴게요 ^^
카이사르 >    니쉬    | 1턴에 바로 모병하세요... 니쉬님 기연안헤도 1등급 되겠네요
   니쉬    >    장임    | 장임님 오실 생각 있으신가요오?!
   쿠요    >      橙      | 여기요 여기 !
   감정    >      橙      | 여기로오세요!
   니쉬    >    장임    | 오시면 등갑등갑을 이끌고 다시 긔엽긔국 분들과 엔조이 하실 수 있어요!
   장임    >    니쉬    | ㅇㅇ곧감
카이사르 >    니쉬    | 1등급됐어요~
   니쉬    > 카이사르 | 시간 맞춰 챙겨주시다니 센스쟁이~
카이사르 >    선비    | 1등급 되었으니 신귀병 뽑으시면 됩니다.
카이사르 >     HideD     | 1등급 되었으니 신귀병 뽑으시면 됩니다.
   니쉬    >    장임    | 우와아~ 굳. 환영합니다
  박일아   >      橙      | 많이 힘든상황입니다 ㅠ.ㅠ 도와주세요
  박일아   > 잠둥이션 | 일단 재모병은 잠시 빼주세욥 강릉만 딸껍니다
  박일아   >    검임    | 전쟁자금으로 금 몰수좀 해갈께요! 감사히 쓰도록 하겠습니다 ><
  박일아   > 잠둥이션 | 검임님 금 1천 몰수 넣어주세욧
   검임    >   박일아   | 예압 ㅠ
   검임    > 그만좀불러좀 | 군주님과 계약맺었던게 있어서 전쟁없이 성벽만수리합니닷
카이사르 >    니쉬    | 국가채널에 글 적은거 봐주세요~
    KAITO     >  Navy마초  | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     >    くま    | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 고긔가먹고싶 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 러스티건 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 미친과학 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 바닥을탁치고 | 개인메세지는 3초당 1건만 보낼 수 있습니다!
    KAITO     > 바쁘다바빠 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     >   엄백호   | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     >   운록이   | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     >   정휘인   | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 제갈여포 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 코토와르 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
    KAITO     > 바닥을탁치고 | 부대 탑승해주시고 내일 오전 8시까지 풀병력 준비해주세요!!
  북오더   >    비월    | Aㅏ... 부관님을 담보로 선약이 ㅠㅠ
  박일아   >   갸오오   | 사령 하나 부탁드려도 될까요?
  갸오오   >   박일아   | 늦었당..
  갸오오   >   박일아   | 다시 수업들으러 이만..
  박일아   > 잠둥이션 | 저 금쌀 2천씩 포상좀 부탁드려요
카이사르 >    장임    | 남해 먹혔으니 등갑 징병하면 삽턴납니다.
   비월    > 내정달인 | 내정달인님 슬슬 쟁준비를 해야할거 같아서 금쌀 몰수 조금씩만 하겠습니다~ 양해 부탁드려요~
   비월    >   천괴금   | 천괴금님 슬슬 쟁준비를 해야할거 같아서 쌀 몰수 조금만 하겠습니다~ 양해부타드립니다~
내정달인 >    비월    | 언제든지 가져 가세요.~~
내정달인 >    비월    | 언제든지 가져 가세요.~~
카이사르 >     KAITO     | 없습니다.
    KAITO     > 카이사르 | 감사합니다 ㅎㅎ
  천괴금   >    비월    | 쌀 안쓰니까 전부 가져가셔도 되요 금 500정도만 남겨두면 될듯요
  북오더   >   박일아   | 기왕 포상주는거 3,4천 팍팍 주시죠. 어차피 새벽1,2시까진 접속 보장임.
    SARS     >   박희수   | 그래도우리는, 샤그니 쌀 1만 몰수해주세요~
  박일아   >      橙      | 수비 꺼주세욧!
  박일아   > 잠둥이션 | 저 금 1천 부탁드려요
더문더문 >    비월    | ㅋㅋㅋ 요즘머함
   비월    > 더문더문 | 나야뭐 학교 휴학하고 복학해서 8월달 까지 학교 ㅋㅋㅋㅋㅋㅋㅋ
   비월    >    진리    | 낙양 먹으면 낙양에서 성/수 올리는게 더 좋지 않나요?
   진리    >    비월    | 올리면 좋기야 하지만 주민도 10만일텐데
   진리    >    비월    | 쌓으면 그냥 고기방패
   진리    >    비월    | 뭐 어차피 무장이제 할것도 없으니 채워도 되긴할듯
  박일아   > 잠둥이션 | 최태원 쌀 1천 몰수욧
  박일아   >    검임    | 똑똑, 잘생긴 검임님! 혹시 부대한개만 파주실수 있을까요? 후방징병부대로 사용하고싶어요 ><
   비월    > 랜임1분장 | 부대타주세요 치안강화 옮깁니다~~~ 무장분들이 너무 많아서 한명씩 보내기 어렵습니다.
   비월    >    읭읭    | 부대타주세요 치안강화 옮깁니다~~~ 무장분들이 너무 많아서 한명씩 보내기 어렵습니다.
   비월    > 일기토지배자 | 부대타주세요 치안강화 옮깁니다~~~ 무장분들이 너무 많아서 한명씩 보내기 어렵습니다.
   비월    >   다이스   | 부대타주세요 치안강화 옮깁니다~~~ 무장분들이 너무 많아서 한명씩 보내기 어렵습니다.
   비월    >    진리    | 진리님 치안보다 성/수가더 낫지 않을까요?
 Navy마초  > 바닥을탁치고 | 저 발령 빼주시면 감사요! 이번타임에 계양장사만 정리하고 부대탈게요.
 Navy마초  > 바닥을탁치고 | 교지가 더 중하면 답신주세요. 턴 수정할게요.
 Navy마초  > 바닥을탁치고 | 는 올턴집합부대가 아니었군요 죄송 헤헤
바닥을탁치고 >  Navy마초  | 9시 턴에 발령 넣어드렸습니다 ㅎㅎ 교지 15000남아서 모훈사 한번더 필요할거에요
 Navy마초  > 바닥을탁치고 | 넵 감사합니다
   니쉬    > ㄷㄱㅎㅈㄷㅀ | 삭턴 진행 중이시고, 국고가 부족하여 부득이하게 금쌀 좀 몰수 좀 하겠습니다.
바닥을탁치고 >  Navy마초  | 아 착오로 9시 후방 10시 남해로 바꿨습니다 ㅎㅎ
 Navy마초  > 바닥을탁치고 | 어어, 계속 계양장사에 있을거라 후방 발령은 괜찮을듯 합니다 ㅎㅎ
  북오더   >   박희수   | 수비켜시고 반징훈사 하세요..
   검임    >   박일아   | 늦게봤네요. 14시 16분 이후부터 집합걸어둘테니 적당한곳으로 발령 부탁드립니당
카이사르 >      DVa      | 적벽 먹어두세요~
  박일아   >   최태원   | 삭턴이 길어지고 계십니다.. 일단 쌀이 너무 급하여 전액 몰수해두겠습니다. 돌아오시면 성수하시면서 포상요청하시면 바로 드리겠습니닷!
  소드락   >   하루카   | 이제 살려주면 안되나요? 낙양 털고 싶은데 헤헤
  하루카   >   소드락   | 으음; 그렇지만 저희랑 종전하면 블소 밀리면 가둬지게 되실텐데요..
  하루카   >   소드락   | 가둬지지 않게 배려해드린다고 해도 낙양-호로정도를 제외하면 양보하기가 좀 힘들어서요..
  소드락   >   하루카   | 괜찮아요 블소 망하면 방랑 탈게요 미련은 없습니다
  하루카   >   소드락   | 으음..국가 안에서 상의 해보고 답변드리겠습니다..제가 좀 결정권이 없어서..
  하루카   >   소드락   | 12시 4분쯤 종전서신 보내드리겠습니다. 저희는 장안, 남피, 북평 먹고 블소 쟁 준비하겠습니다. 낙양에 많은 탈취를 부탁드려요!
  하루카   >   소드락   | 더해서 32분쯤 불가침 서신도 보내겠습니다.
   진리    >    니콜    | 포-상-돌-려-주-십-셔
 Navy마초  >     KAITO     | 네 혹시 급히 필요하실때 hongdado 톡 주시면 감사용
카이사르 >     HideD     | 전선이 왔다갔다하고 있습니다.. 예턴출병을 할 시 접률이 낮으면 삽턴날 수 있으니 가급적 무장은 성수또는 정장, 지장은 농상 예턴해주시기 바랍니다.
카이사르 >    선비    | 전선이 왔다갔다하고 있습니다.. 예턴출병을 할 시 접률이 낮으면 삽턴날 수 있으니 가급적 무장은 성수또는 정장, 지장은 농상 예턴해주시기 바랍니다.
카이사르 >      DVa      | 전선이 왔다갔다하고 있습니다.. 예턴출병을 할 시 접률이 낮으면 삽턴날 수 있으니 가급적 무장은 성수또는 정장, 지장은 농상 예턴해주시기 바랍니다.
   진리    > 일기토지배자 | 탈취원하면 말하셈 북평하면 될듯
  박일아   >   정력왕   | 훈사하세욥~
   장임    >      DVa      | 접하시면 적벽 ㄱㄱ
카이사르 >    니쉬    | 국채봐주세요~
   니쉬    > 카이사르 | 예써.
  박일아   >    비월    | 저.. 다시 한번 여쭤보려고 갠메 해봅니다.. 혹시 원조 가능할까욥...
  박일아   >   하루카   | 저.. 혹시 원조 가능할까욥...
  북오더   >    비월    | 비월님 원조건으로 아얄에서 만날 수 있을까요?
  북오더   >    진리    | 진리님 외교건으로 컨택할 수 있을까요?
   진리    >   북오더   | 넹
   진리    >   북오더   | 근데 아얄이 안되여
  하루카   >   박일아   | 에..잠시만요 다른 분들 이야기 좀 들어보고..
  북오더   >    진리    | 원조 가능하면 받고싶은데.. 그대신 그쪽 요청사항을 들어야해서요..
잠둥이션 >   박일아   | 모병해도됨?
  쥬비아   >   소드락   | 안녕하세요.. 현재 우리 나라의 외교가 저와맞지않아 부득이하게비재야망명을 가게되었습니다. 가서 절대 이국에 불이득되는 정보는 누설치아니할테니 그부분은 염려안하셔도되요. 죄송합니다
   진리    >   북오더   | 킁 좀 일찍오지 돚거랑 귀모가 열심히 털어서 국고를 비웠음..
  박일아   >   쥬비아   | 쥬비아님, 혹시 저희국에도 기회가 있을까요?
  박일아   > 잠둥이션 | 안됩니다.
잠둥이션 >   박일아   | 넵 병력이 너무 적어서 교지 성벽맞길레 여쭤봤어요. 병력갖춰지면 교지 수비 갈께요
  쥬비아   >   박일아   | 블소에서 컨택이먼져와서ㅜㅜ 2대1전쟁이시지만 유리하다고보구ㅜㅜ담기회에ㅜㅜ 건승하셔용!
  박일아   >   쥬비아   | 전혀 유리하지 않아요..곧 망할거같은데..알겠습니다 ㅠㅠ
  쥬비아   >   박일아   | 정정하겠습니다.. 일분장이다보니.. 유리하진않네요.... 화이팅.....
  박일아   >    무광    | 똑똑, 계십니까 ? 전쟁 관련해서 잠시 드릴말씀이 있어서 갠메 해봅니다.
  박일아   >     KAITO     | 똑똑, 계십니까 ? 전쟁 관련해서 잠시 드릴말씀이 있어서 갠메 해봅니다.
